行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
霸州市,迎宾道国蕴城二区项目,城区办事处大魏家营村，范家坊村，迎宾道北侧,2.1573,城镇住宅用地,拍卖出让,70,房地产业,8632,廊坊广安房地产开发有限公司,1.302.00,2020年7月3日,2021年9月1日,2024年8月31日,
霸州市,迎宾道国蕴城二区项目,城区办事处大魏家营村，迎宾道北侧,3.0501,城镇住宅用地,拍卖出让,70,房地产业,13430,廊坊广安房地产开发有限公司,1.302.50,2020年7月3日,2021年9月1日,2024年8月31日,
广阳区,广阳经济开发区已征范围内绿化用地项目,廊坊市广阳经济开发区内,7.834249,公园与绿地,划拨,,国家机构,,河北廊坊广阳经济开发区管理委员会,,2020年7月3日,,,
廊坊市本级,开新城市开发建设有限公司,廊坊经济技术开发区和平路东侧、花园道北侧,4.90707,城镇住宅用地,拍卖出让,70,房地产业,33460,开新城市开发建设有限公司,1.302.20,2020年7月3日,2021年10月8日,2024年10月7日,
固安县,固安县委党校迁建项目,固安县柳泉镇北辛街村,3.545,教育用地,划拨,,教育业,,固安县委党校,2.2,2020年7月3日,2021年7月2日,2023年7月1日,
霸州市,智慧家居产业研发生产基地项目,辛章办事处北柳村，协和路北侧,0.7066,工业用地,挂牌出让,50,家具制造业,389,霸州市三强家具有限公司,1.2,2020年7月2日,2021年8月30日,2023年8月29日,
霸州市,年产6万吨复合调味品项目,南孟镇安家营村，村道南侧、气象局北,2.5548,工业用地,挂牌出让,20,农副食品加工业,781,河北争荣生物科技股份有限公司,1.2,2020年7月2日,2021年8月30日,2023年8月29日,
安次区,廊坊市凤欣房地产开发有限公司项目,汇文道以南、瑞雪道以北、龙翔路南段以西、龙腾路以东,4.864566,城镇住宅用地,拍卖出让,70,房地产业,53200,廊坊市凤欣房地产开发有限公司,1.302.00,2020年6月30日,2021年7月30日,2024年7月29日,
安次区,廊坊市宏图泰居房地产开发有限公司,龙腾路以西、富远道以北、龙飞路以东,3.117662,城镇住宅用地,拍卖出让,70,房地产业,19400,廊坊市宏图泰居房地产开发有限公司,1.302.20,2020年6月30日,2021年7月30日,2024年7月29日,
安次区,廊坊市宏昌佳泰房地产开发有限公司,富甲路以南、富康道以北、龙吉路以东、云淡道以西,4.704329,城镇住宅用地,拍卖出让,70,房地产业,29520,廊坊市宏昌佳泰房地产开发有限公司,1.302.20,2020年6月30日,2021年7月30日,2024年7月29日,
安次区,廊坊市宏昌佳泰房地产开发有限公司,富甲路以北、云淡道以西,0.843333,娱乐用地,拍卖出让,40,房地产业,4200,廊坊市宏昌佳泰房地产开发有限公司,1.5,2020年6月30日,2021年7月30日,2023年7月29日,
广阳区,广阳经济开发区已征范围内道路用地项目,廊坊市广阳经济开发区内,6.338631,城镇村道路用地,划拨,,国家机构,,河北廊坊广阳经济开发区管理委员会,,2020年6月30日,,,
安次区,廊坊市正源冷链物流有限公司正源冷链物流基地项目,龙河高新区日升道以南、富饶道以西、月朗道以北、富邦道以东,12.018142,仓储用地,拍卖出让,50,仓储业,7460,廊坊市正源冷链物流有限公司,1,2020年6月30日,2021年7月30日,2023年7月29日,
霸州市,观棠上境项目,开发区堤角村,5.3417,城镇住宅用地,拍卖出让,70,房地产业,24027,霸州市铭晟房地产开发有限公司,1.302.00,2020年6月29日,2021年8月27日,2024年8月26日,
霸州市,观棠上境项目,开发区堤角村,2.9165,城镇住宅用地,拍卖出让,70,房地产业,13141,霸州市铭晟房地产开发有限公司,1.302.00,2020年6月29日,2021年8月27日,2024年8月26日,
大城县,年产4000立方米保温管技术改造,娘娘庄村,0.156,工业用地,拍卖出让,50,制造业,45,廊坊旭航保温材料有限公司,0.601.20,2020年6月29日,,,
大城县,廊坊明鑫实业有限责任公司年产1000吨建筑工程器材及设备,西王祥村,0.438615,工业用地,拍卖出让,50,制造业,270,李洪禄,0.601.20,2020年6月29日,2021年12月29日,2023年12月28日,
大城县,大城县贾庄晟来摩托车配件加工厂年产10万套摩托配件,贾庄村,0.32575,工业用地,拍卖出让,50,摩托车制造,138,大城县贾庄晟来摩托车配件加工厂,0.600.60,2020年6月29日,2021年12月29日,2023年12月28日,
大城县,**年产2万吨防辐射超细玻璃棉项目**,娘娘庄村,1.666672,工业用地,拍卖出让,50,制造业,460,河北国美新型建材有限公司,0.601.20,2020年6月29日,,,
大城县,华美节能科技集团有限公司年产150万立方米高端及特种用途橡塑绝热制品（一期）,留邻居村,3.757114,工业用地,拍卖出让,50,制造业,995,华美节能科技集团有限公司,0.601.20,2020年6月29日,2021年12月29日,2023年12月28日,
大城县,大城县贾庄大为摩托车配件加工厂年产100万个摩托车配件,贾庄村,0.948373,工业用地,拍卖出让,50,摩托车制造,400,大城县贾庄大为摩托车配件加工厂,0.600.60,2020年6月29日,,,
大城县,年产1850吨铝箔复合,魏吉村,0.039367,工业用地,拍卖出让,工业用地50年; 公园与绿地0年;,制造业,11,河北顺贵铝箔复合材料有限公司,0.601.20,2020年6月29日,,,
大城县,大城县云雾运输有限公司土方运输,津保路南侧,0.43017,交通服务场站用地,拍卖出让,50,装卸搬运和其他运输服务业,118,大城县云雾运输有限公司,0.001.20,2020年6月29日,2021年12月29日,2023年12月28日,
大城县,华美节能科技集团有限公司年产150万立方米高端及特种用途橡塑绝热制品（一期）,留邻居村,1.576224,工业用地,拍卖出让,50,建筑业,420,华美节能科技集团有限公司,0.601.20,2020年6月29日,2021年12月29日,2023年12月28日,
大城县,廊坊隆昌商业管理有限公司,津保路南侧,4.3458,零售商业用地,拍卖出让,40,租赁和商务服务业,4565,廊坊隆昌商业管理有限公司,2,2020年6月29日,2021年12月29日,2024年12月28日,
大城县,盛泰广场二期（商贸嘉诚小区三期）,新华东街南侧,1.008135,城镇住宅用地,拍卖出让,城镇住宅用地70年; 公路用地0年;,房地产业,2570,大城县纵宇房地产开发有限公司,1.302.90,2020年6月29日,2021年12月29日,2024年12月28日,
大城县,禹通新福邸,南环路南侧,1.128417,城镇住宅用地,拍卖出让,城镇住宅用地70年; 零售商业用地40年; 公路用地0年;,房地产业,2275,廊坊禹通房地产开发有限公司,1.302.50,2020年6月29日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.32302,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.30862,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
香河县,居住用地,汇文路东侧，规划S2路北侧,5.383607,城镇住宅用地,拍卖出让,70,房地产业,29125,香河县城镇房地产综合开发有限公司,1.601.80,2020年6月28日,2021年6月28日,2024年6月27日,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.20923,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,3.92484,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.17507,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.46696,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,2.58243,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
