行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
 肥东县,  安徽力翔电池科技有限公司铝制电池壳生产项目,  肥东经开区墩塘社区关井路与龙脊路交口东南角,2.782,  工业用地,  挂牌出让,50,  通用设备制造业,628.732,  安徽力翔电池科技有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  合肥虎威建材有限公司建材加工项目,  白龙镇孙岗社区油坊组合青路南侧,0.6383,  工业用地,  挂牌出让,50,  砖瓦、石材及其他建筑材料制造,160.8516,  合肥虎威建材有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  合肥虎威建材有限公司建材加工项目,  白龙镇孙岗社区油坊组合青路南侧,0.2173,  工业用地,  挂牌出让,50,  砖瓦、石材及其他建筑材料制造,54.7596,  合肥虎威建材有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  合肥志超新型墙材有限公司保温轻质隔墙板生产项目,  肥东县梁园镇路口社区路口组,0.2966,  工业用地,  挂牌出让,50,  砖瓦、石材及其他建筑材料制造,61.3962,  合肥志超新型墙材有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  安徽五星果品有限公司机械加工项目,  肥东县撮镇镇大彭路与唐安路交口东侧,0.5678,  工业用地,  挂牌出让,50,  农副食品加工业,127.1872,  安徽五星果品有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  合肥通博风云产业园开发有限公司标准化厂房项目,  肥东经开区护城路与临泉路交口西北角,4.5587,  工业用地,  挂牌出让,50,  仓储业,1025.7075,  合肥通博风云产业园开发有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  安徽斯翔电池科技有限公司铝制电池壳生产项目,  肥东经开区墩塘社区祥和北路西侧,3.3361,  工业用地,  挂牌出让,50,  通用设备制造业,753.9586,  安徽斯翔电池科技有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  合肥市信昶商贸有限公司仓储物流项目,  元疃镇元疃社区永二组,1.1417,  工业用地,  挂牌出让,50,  仓储业,287.7084,  合肥市信昶商贸有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  肥东县俊伟仓储有限责任公司仓储物流项目,  元疃镇新蚌埠路（元疃产业园）北侧,2.6905,  工业用地,  挂牌出让,50,  仓储业,556.9335,  肥东县俊伟仓储有限责任公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥东县,  合肥邦成保温棉制品有限公司保温棉制品生产项目,  元疃镇路集社居委西郢组,0.3307,  工业用地,  挂牌出让,50,  其它,83.3364,  合肥邦成保温棉制品有限公司?,1,2020年6月3日,2020年9月3日,2021年9月3日,
 肥西县,  合肥中南高科锦祥产业园运营管理有限公司,  花岗镇,9.999377,  工业用地,  挂牌出让,50,  公共设施管理业,1829.886,  合肥中南高科锦祥产业园运营管理有限公司?,1,2020年6月1日,2020年8月26日,2022年2月25日,
 合肥市本级,  牯牛降路（北京路—上海路）,  合肥市包河区,5.124686,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥市包河区住房和城乡建设局,  ,2020年5月29日,2020年8月28日,2021年8月28日,
 合肥市本级,  王静,  合肥市瑶海区当涂路159号1幢1、3、4层,0.010951,  其他商服用地,  协议出让,40,  基层群众自治组织,75.72,  王静?,1,2020年5月29日,  ,  ,
 合肥市本级,  天峡路（霞飞巷-创新大道）,  合肥高新区,0.19268,  城镇村道路用地,  划拨,  ,  房地产业,  ,  合肥高新城创建设投资有限公司,  ,2020年5月29日,2020年8月29日,2021年8月29日,
 合肥市本级,  武汉路（玉龙路-贵州路）,  合肥市滨湖新区,1.483061,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥滨湖科学城管理委员会,  ,2020年5月29日,2020年8月29日,2021年8月29日,
 合肥市本级,  甘棠路（上海路-平塘王路）,  合肥市包河区,2.06952,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥市包河区住房和城乡建设局,  ,2020年5月29日,2020年8月28日,2021年8月28日,
 合肥市本级,  玉龙路（珠江路-格尔木路）,  合肥市滨湖新区,6.119172,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥滨湖科学城管理委员会,  ,2020年5月29日,2020年8月29日,2021年8月29日,
 合肥市本级,  平塘王路（南淝河路-巢湖南路）,  合肥市包河区,1.480761,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥市包河区住房和城乡建设局,  ,2020年5月29日,2020年8月28日,2021年8月28日,
 肥西县,  文曲路,  柏堰科技园,0.155818,  公路用地,  划拨,  ,  道路运输业,  ,  高新区柏堰科技园管委会,1,2020年5月29日,2020年6月30日,2021年11月30日,
 合肥市本级,  南京路（上海路-福建路）,  合肥市滨湖新区,1.738389,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥滨湖科学城管理委员会,  ,2020年5月29日,2020年8月29日,2021年8月29日,
 合肥市本级,  王开建,  合肥市包河区青年路43号东陈岗2幢102,0.004369,  其他商服用地,  协议出让,40,  基层群众自治组织,16.0273,  王开建?,  1.811.81,2020年5月29日,  ,  ,
 合肥市本级,  恒大地产集团合肥有限公司,  安巢经开区金巢大道与金湖大道交口东南侧,6.332648,  城镇住宅用地,  拍卖出让,70,  房地产业,46070.0142,  恒大地产集团合肥有限公司?,  1.001.80,2020年5月28日,2021年1月28日,2023年1月28日,
